,Alphas,Layers,Solvers,R2
161,1e-07,"(20, 5, 5)",sgd,-0.00017052415691942713
162,1e-07,"(20, 5, 10)",lbfgs,0.12722414341520327
163,1e-07,"(20, 5, 10)",adam,0.13842507585895714
164,1e-07,"(20, 5, 10)",sgd,0.13038691582511797
165,1e-07,"(20, 5, 20)",lbfgs,0.1421893438482552
166,1e-07,"(20, 5, 20)",adam,0.14376701001357628
167,1e-07,"(20, 5, 20)",sgd,0.11654540709929784
168,1e-07,"(20, 10, 2)",lbfgs,-7.473221129283836e-05
169,1e-07,"(20, 10, 2)",adam,0.01536302208988094
170,1e-07,"(20, 10, 2)",sgd,0.02606140540981461
171,1e-07,"(20, 10, 5)",lbfgs,0.1345169950288161
172,1e-07,"(20, 10, 5)",adam,0.1438642610223373
173,1e-07,"(20, 10, 5)",sgd,0.13483844371947706
174,1e-07,"(20, 10, 10)",lbfgs,0.13046513864932452
175,1e-07,"(20, 10, 10)",adam,0.14164155360783393
176,1e-07,"(20, 10, 10)",sgd,0.12065441609933303
177,1e-07,"(20, 10, 20)",lbfgs,0.12126728659516406
178,1e-07,"(20, 10, 20)",adam,0.1395019397273184
179,1e-07,"(20, 10, 20)",sgd,0.14237195621936227
180,1e-07,"(20, 20, 2)",lbfgs,0.12505789153440916
181,1e-07,"(20, 20, 2)",adam,0.14531311210194098
182,1e-07,"(20, 20, 2)",sgd,-9.764639290832378e-05
183,1e-07,"(20, 20, 5)",lbfgs,0.1386771413624015
184,1e-07,"(20, 20, 5)",adam,0.013170765319588829
185,1e-07,"(20, 20, 5)",sgd,0.1347188625267315
186,1e-07,"(20, 20, 10)",lbfgs,0.131000352782489
187,1e-07,"(20, 20, 10)",adam,0.14950788971051454
188,1e-07,"(20, 20, 10)",sgd,0.04278746085346541
189,1e-07,"(20, 20, 20)",lbfgs,0.12309486181722473
190,1e-07,"(20, 20, 20)",adam,0.141128677048579
191,1e-07,"(20, 20, 20)",sgd,0.12305296228556784
192,0.001,"(2, 2, 2)",lbfgs,0.1441457269663009
193,0.001,"(2, 2, 2)",adam,-0.0018922347532064343
194,0.001,"(2, 2, 2)",sgd,-9.966773758129932e-05
195,0.001,"(2, 2, 5)",lbfgs,0.13882838043861379
196,0.001,"(2, 2, 5)",adam,0.13060538424918722
197,0.001,"(2, 2, 5)",sgd,0.08886306202557581
198,0.001,"(2, 2, 10)",lbfgs,0.13692560547457433
199,0.001,"(2, 2, 10)",adam,0.13931049397297002
200,0.001,"(2, 2, 10)",sgd,0.00014876959782295085
201,0.001,"(2, 2, 20)",lbfgs,0.14577288671853694
202,0.001,"(2, 2, 20)",adam,0.1313037305814566
203,0.001,"(2, 2, 20)",sgd,0.10502443185093613
204,0.001,"(2, 5, 2)",lbfgs,0.1416163981430626
205,0.001,"(2, 5, 2)",adam,0.13551305740687059
206,0.001,"(2, 5, 2)",sgd,0.12016879036570738
207,0.001,"(2, 5, 5)",lbfgs,-7.473224958931546e-05
208,0.001,"(2, 5, 5)",adam,0.12598976667723416
209,0.001,"(2, 5, 5)",sgd,0.1222004830836082
210,0.001,"(2, 5, 10)",lbfgs,0.13898003788223123
211,0.001,"(2, 5, 10)",adam,0.13424595727338795
212,0.001,"(2, 5, 10)",sgd,0.12046637720391207
213,0.001,"(2, 5, 20)",lbfgs,0.13270918307052681
214,0.001,"(2, 5, 20)",adam,0.13654235210025012
215,0.001,"(2, 5, 20)",sgd,0.12838493977448995
216,0.001,"(2, 10, 2)",lbfgs,0.1210971168464623
217,0.001,"(2, 10, 2)",adam,-0.006635435538968171
218,0.001,"(2, 10, 2)",sgd,-7.813434957459897e-05
219,0.001,"(2, 10, 5)",lbfgs,0.13519761946161524
220,0.001,"(2, 10, 5)",adam,0.13331965040784888
221,0.001,"(2, 10, 5)",sgd,-0.0007426556576517473
222,0.001,"(2, 10, 10)",lbfgs,0.13793222803778282
223,0.001,"(2, 10, 10)",adam,0.13435190467128322
224,0.001,"(2, 10, 10)",sgd,0.11303566076524296
225,0.001,"(2, 10, 20)",lbfgs,0.14433328305445992
226,0.001,"(2, 10, 20)",adam,0.13589733133997517
227,0.001,"(2, 10, 20)",sgd,0.07527681545060383
228,0.001,"(2, 20, 2)",lbfgs,-7.473222620757447e-05
229,0.001,"(2, 20, 2)",adam,0.13565302810339108
230,0.001,"(2, 20, 2)",sgd,-0.0015874194291418675
231,0.001,"(2, 20, 5)",lbfgs,0.13144740552249812
232,0.001,"(2, 20, 5)",adam,0.1310942038840146
233,0.001,"(2, 20, 5)",sgd,-8.186351560190985e-05
234,0.001,"(2, 20, 10)",lbfgs,0.14717187032492218
235,0.001,"(2, 20, 10)",adam,0.13337198792146265
236,0.001,"(2, 20, 10)",sgd,0.08511877147372593
237,0.001,"(2, 20, 20)",lbfgs,0.13986565901058745
238,0.001,"(2, 20, 20)",adam,0.13234883706269718
239,0.001,"(2, 20, 20)",sgd,0.05566022590105735
240,0.001,"(5, 2, 2)",lbfgs,-7.47263376694729e-05
241,0.001,"(5, 2, 2)",adam,-0.003994708314718487
242,0.001,"(5, 2, 2)",sgd,-0.00010396084214314705
243,0.001,"(5, 2, 5)",lbfgs,0.14490179673883308
244,0.001,"(5, 2, 5)",adam,0.0068658055952176555
245,0.001,"(5, 2, 5)",sgd,0.07547280164611969
246,0.001,"(5, 2, 10)",lbfgs,0.14610815671356014
